Year,League,Team,MarketValue_M_Euro,League_Avg_Attendance,League_Google_Interest,Team_Name
2015,LaLiga,38,254.0,10629966.0,13.083333333333334,Real Sociedad
2015,LaLiga,38,230.3,10629966.0,13.083333333333334,Real Sociedad
2015,LaLiga,28,148.0,10629966.0,13.083333333333334,Atlético Madrid
2015,LaLiga,28,140.6,10629966.0,13.083333333333334,Atlético Madrid
2015,LaLiga,32,119.4,10629966.0,13.083333333333334,Real Madrid
2015,LaLiga,28,91.1,10629966.0,13.083333333333334,Atlético Madrid
2015,LaLiga,33,77.95,10629966.0,13.083333333333334,Girona FC
2015,LaLiga,33,71.5,10629966.0,13.083333333333334,Girona FC
2015,LaLiga,33,62.2,10629966.0,13.083333333333334,Girona FC
2015,LaLiga,30,61.75,10629966.0,13.083333333333334,FC Barcelona
2015,LaLiga,35,56.6,10629966.0,13.083333333333334,Athletic Bilbao
2015,LaLiga,33,56.4,10629966.0,13.083333333333334,Girona FC
2015,LaLiga,29,53.2,10629966.0,13.083333333333334,Villarreal CF
2015,LaLiga,31,53.1,10629966.0,13.083333333333334,Valencia CF
2015,LaLiga,35,49.6,10629966.0,13.083333333333334,Athletic Bilbao
2015,LaLiga,30,49.1,10629966.0,13.083333333333334,FC Barcelona
2015,LaLiga,33,32.2,10629966.0,13.083333333333334,Girona FC
2016,LaLiga,29,802.9,10709466.0,9.916666666666666,Villarreal CF
2016,LaLiga,33,765.3,10709466.0,9.916666666666666,Girona FC
2016,LaLiga,38,515.8,10709466.0,9.916666666666666,Real Sociedad
2016,LaLiga,38,270.1,10709466.0,9.916666666666666,Real Sociedad
2016,LaLiga,38,257.5,10709466.0,9.916666666666666,Real Sociedad
2016,LaLiga,34,190.7,10709466.0,9.916666666666666,Sevilla FC
2016,LaLiga,30,172.6,10709466.0,9.916666666666666,FC Barcelona
2016,LaLiga,30,156.45,10709466.0,9.916666666666666,FC Barcelona
2016,LaLiga,29,122.4,10709466.0,9.916666666666666,Villarreal CF
2016,LaLiga,37,94.0,10709466.0,9.916666666666666,Real Betis
2016,LaLiga,30,85.4,10709466.0,9.916666666666666,FC Barcelona
2016,LaLiga,32,84.3,10709466.0,9.916666666666666,Real Madrid
2016,LaLiga,33,84.3,10709466.0,9.916666666666666,Girona FC
2016,LaLiga,28,84.2,10709466.0,9.916666666666666,Atlético Madrid
2016,LaLiga,29,80.8,10709466.0,9.916666666666666,Villarreal CF
2016,LaLiga,28,67.95,10709466.0,9.916666666666666,Atlético Madrid
2016,LaLiga,40,66.45,10709466.0,9.916666666666666,Celta Vigo
2016,LaLiga,37,53.15,10709466.0,9.916666666666666,Real Betis
2016,LaLiga,31,46.75,10709466.0,9.916666666666666,Valencia CF
